image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Profumo,Profumo di crauti.,Il formaggio ha un profumo di crauti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Profumo,Profumo forte.,Il formaggio ha un profumo forte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Profumo,Profumo di tipo chimico.,Il formaggio ha un profumo di tipo chimico.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Profumo,Profumo di polvere.,Il formaggio ha un profumo di polvere.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Profumo,Profumo di banana verde.,Il formaggio ha un profumo di banana verde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Profumo,Profumo di crauti.,Il formaggio ha un profumo di crauti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Profumo,Profumo forte.,Il formaggio ha un profumo forte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Profumo,Profumo di tipo chimico.,Il formaggio ha un profumo di tipo chimico.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Profumo,Profumo di polvere.,Il formaggio ha un profumo di polvere.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Profumo,Profumo di banana verde.,Il formaggio ha un profumo di banana verde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Profumo,Profumo di crauti.,Il formaggio ha un profumo di crauti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Profumo,Profumo forte.,Il formaggio ha un profumo forte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Profumo,Profumo di tipo chimico.,Il formaggio ha un profumo di tipo chimico.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Profumo,Profumo di polvere.,Il formaggio ha un profumo di polvere.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Profumo,Profumo di banana verde.,Il formaggio ha un profumo di banana verde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Profumo,Profumo di crauti.,Il formaggio ha un profumo di crauti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Profumo,Profumo forte.,Il formaggio ha un profumo forte.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Profumo,Profumo di tipo chimico.,Il formaggio ha un profumo di tipo chimico.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Profumo,Profumo di polvere.,Il formaggio ha un profumo di polvere.
