image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Struttura della Pasta,"Pasta fine e stirata al centro, grossolana verso lo scalzo.","La pasta del formaggio è fine e stirata al centro, grossolana verso lo scalzo."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Pasta con effetto a scaglie in alcune zone.,La pasta del formaggio presenta effetto a scaglie in alcune zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Pasta con microocchiatura impercettibile al centro.,La pasta del formaggio presenta microocchiatura impercettibile al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,"Pasta con profonde fratture, una grande posizionata sotto uno dei piattoni.","La pasta del formaggio presenta profonde fratture, una grande posizionata sotto uno dei piattoni."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Pasta con fessure pronunciate.,La pasta del formaggio presenta fessure pronunciate.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Pasta tutta spaccata.,La pasta del formaggio è tutta spaccata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Pasta con fessure profonde.,La pasta del formaggio presenta fessure profonde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Struttura della Pasta,Pasta con lunghe e profonde fessure longitudinali.,La pasta del formaggio presenta lunghe e profonde fessure longitudinali.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Pasta tendente a formare piccole scaglie.,La pasta del formaggio è tendente a formare piccole scaglie.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Pasta con grana di diversa granulosità.,La pasta del formaggio presenta grana di diversa granulosità.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Struttura della Pasta,Pasta con irregolarità di frattura.,La pasta del formaggio presenta irregolarità di frattura.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Struttura della Pasta,Pasta più fine al centro.,La pasta del formaggio è più fine al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Struttura della Pasta,Pasta bella e abbastanza regolare.,La pasta del formaggio è bella e abbastanza regolare.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Struttura della Pasta,Pasta con piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.,La pasta del formaggio presenta piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,Struttura della Pasta,Pasta con effetto a scaglie in alcune zone.,La pasta del formaggio presenta effetto a scaglie in alcune zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,Struttura della Pasta,Pasta con microocchiatura impercettibile al centro.,La pasta del formaggio presenta microocchiatura impercettibile al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Pasta tendente a formare piccole scaglie.,La pasta del formaggio è tendente a formare piccole scaglie.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Pasta con grana di diversa granulosità.,La pasta del formaggio presenta grana di diversa granulosità.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Struttura della Pasta,Pasta con irregolarità di frattura.,La pasta del formaggio presenta irregolarità di frattura.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Struttura della Pasta,"Pasta con profonde fratture, una grande posizionata sotto uno dei piattoni.","La pasta del formaggio presenta profonde fratture, una grande posizionata sotto uno dei piattoni."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Struttura della Pasta,Pasta con fessure pronunciate.,La pasta del formaggio presenta fessure pronunciate.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Struttura della Pasta,Pasta tutta spaccata.,La pasta del formaggio è tutta spaccata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Struttura della Pasta,Pasta con fessure profonde.,La pasta del formaggio presenta fessure profonde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Struttura della Pasta,Pasta con lunghe e profonde fessure longitudinali.,La pasta del formaggio presenta lunghe e profonde fessure longitudinali.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Struttura della Pasta,"Pasta fine e stirata al centro, grossolana verso lo scalzo.","La pasta del formaggio è fine e stirata al centro, grossolana verso lo scalzo."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Struttura della Pasta,Pasta più fine al centro.,La pasta del formaggio è più fine al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Struttura della Pasta,Pasta bella e abbastanza regolare.,La pasta del formaggio è bella e abbastanza regolare.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Struttura della Pasta,Pasta con piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.,La pasta del formaggio presenta piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Struttura della Pasta,"Pasta con profonde fratture, una grande posizionata sotto uno dei piattoni.","La pasta del formaggio presenta profonde fratture, una grande posizionata sotto uno dei piattoni."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Struttura della Pasta,Pasta con fessure pronunciate.,La pasta del formaggio presenta fessure pronunciate.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Struttura della Pasta,Pasta tutta spaccata.,La pasta del formaggio è tutta spaccata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Struttura della Pasta,Pasta con fessure profonde.,La pasta del formaggio presenta fessure profonde.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Struttura della Pasta,Pasta con lunghe e profonde fessure longitudinali.,La pasta del formaggio presenta lunghe e profonde fessure longitudinali.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Struttura della Pasta,Pasta tendente a formare piccole scaglie.,La pasta del formaggio è tendente a formare piccole scaglie.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Struttura della Pasta,Pasta con grana di diversa granulosità.,La pasta del formaggio presenta grana di diversa granulosità.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Struttura della Pasta,Pasta con irregolarità di frattura.,La pasta del formaggio presenta irregolarità di frattura.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_FETTA.bmp,Struttura della Pasta,Pasta con effetto a scaglie in alcune zone.,La pasta del formaggio presenta effetto a scaglie in alcune zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_FETTA.bmp,Struttura della Pasta,Pasta con microocchiatura impercettibile al centro.,La pasta del formaggio presenta microocchiatura impercettibile al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Struttura della Pasta,"Pasta fine e stirata al centro, grossolana verso lo scalzo.","La pasta del formaggio è fine e stirata al centro, grossolana verso lo scalzo."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Struttura della Pasta,Pasta con piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.,La pasta del formaggio presenta piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.
