image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Aroma,Aroma di yogurt.,Il formaggio ha un aroma di yogurt.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Aroma,"Aroma di burro fresco con note lattiche prevalenti, poco complesso.","Il formaggio ha un aroma di burro fresco con note lattiche prevalenti, poco complesso."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Aroma,Aroma di grana abbastanza giovane.,Il formaggio ha un aroma di grana abbastanza giovane.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Aroma,Aroma di malga.,Il formaggio ha un aroma di malga.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Aroma,Aroma non piacevole con persistenza elevata.,Il formaggio ha un aroma non piacevole con persistenza elevata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Aroma,"Aroma di burro fresco con note lattiche prevalenti, poco complesso.","Il formaggio ha un aroma di burro fresco con note lattiche prevalenti, poco complesso."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Aroma,Aroma di yogurt.,Il formaggio ha un aroma di yogurt.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Aroma,Aroma di grana abbastanza giovane.,Il formaggio ha un aroma di grana abbastanza giovane.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Aroma,Aroma di malga.,Il formaggio ha un aroma di malga.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Aroma,Aroma non piacevole con persistenza elevata.,Il formaggio ha un aroma non piacevole con persistenza elevata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Aroma,"Aroma di burro fresco con note lattiche prevalenti, poco complesso.","Il formaggio ha un aroma di burro fresco con note lattiche prevalenti, poco complesso."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Aroma,Aroma di yogurt.,Il formaggio ha un aroma di yogurt.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Aroma,Aroma di malga.,Il formaggio ha un aroma di malga.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Aroma,Aroma non piacevole con persistenza elevata.,Il formaggio ha un aroma non piacevole con persistenza elevata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_GRANA.bmp,Aroma,Aroma di grana abbastanza giovane.,Il formaggio ha un aroma di grana abbastanza giovane.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Aroma,Aroma di yogurt.,Il formaggio ha un aroma di yogurt.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_FETTA.bmp,Aroma,"Aroma di burro fresco con note lattiche prevalenti, poco complesso.","Il formaggio ha un aroma di burro fresco con note lattiche prevalenti, poco complesso."
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Aroma,Aroma di malga.,Il formaggio ha un aroma di malga.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Aroma,Aroma non piacevole con persistenza elevata.,Il formaggio ha un aroma non piacevole con persistenza elevata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_FETTA.bmp,Aroma,Aroma di grana abbastanza giovane.,Il formaggio ha un aroma di grana abbastanza giovane.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_FETTA.bmp,Aroma,Aroma molto leggero.,Il formaggio ha un aroma molto leggero.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_FETTA.bmp,Aroma,"Aroma di dado, molto concentrato.","Il formaggio ha un aroma di dado, molto concentrato."
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_A_FETTA.bmp,Aroma,Aroma di intensità bassa.,Il formaggio ha un aroma di intensità bassa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_A_GRANA.bmp,Aroma,Aroma poco intenso.,Il formaggio ha un aroma poco intenso.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_B_FETTA.bmp,Aroma,Aroma poco intenso.,Il formaggio ha un aroma poco intenso.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_B_GRANA.bmp,Aroma,Aroma di intensità bassa.,Il formaggio ha un aroma di intensità bassa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_GRANA.bmp,Aroma,Aroma molto leggero.,Il formaggio ha un aroma molto leggero.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_GRANA.bmp,Aroma,"Aroma di dado, molto concentrato.","Il formaggio ha un aroma di dado, molto concentrato."
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_A_FETTA.bmp,Aroma,Aroma poco intenso.,Il formaggio ha un aroma poco intenso.
