image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Pasta con macchia e alone centrale rosato.,La pasta del formaggio presenta macchia e alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Pasta con striscia rosata.,La pasta del formaggio presenta striscia rosata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Colore della Pasta,Pasta con aree di colore non uniforme.,La pasta del formaggio presenta aree di colore non uniforme.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Colore della Pasta,Pasta con alone molto grande.,La pasta del formaggio presenta alone molto grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Colore della Pasta,Pasta con aree di colore non uniforme.,La pasta del formaggio presenta aree di colore non uniforme.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Colore della Pasta,Pasta con macchia e alone centrale rosato.,La pasta del formaggio presenta macchia e alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Colore della Pasta,Pasta con striscia rosata.,La pasta del formaggio presenta striscia rosata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Colore della Pasta,Pasta con alone molto grande.,La pasta del formaggio presenta alone molto grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Colore della Pasta,Pasta con aree di colore non uniforme.,La pasta del formaggio presenta aree di colore non uniforme.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_FETTA.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Colore della Pasta,Pasta con macchia e alone centrale rosato.,La pasta del formaggio presenta macchia e alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Colore della Pasta,Pasta con striscia rosata.,La pasta del formaggio presenta striscia rosata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_GRANA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_GRANA.bmp,Colore della Pasta,Pasta con alone molto grande.,La pasta del formaggio presenta alone molto grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Colore della Pasta,Pasta con macchia e alone centrale rosato.,La pasta del formaggio presenta macchia e alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Colore della Pasta,Pasta con striscia rosata.,La pasta del formaggio presenta striscia rosata.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_FETTA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_FETTA.bmp,Colore della Pasta,Pasta con aree di colore non uniforme.,La pasta del formaggio presenta aree di colore non uniforme.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_GRANA.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_FETTA.bmp,Colore della Pasta,Pasta con leggero alone centrale.,La pasta del formaggio presenta leggero alone centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_FETTA.bmp,Colore della Pasta,Pasta con alone molto grande.,La pasta del formaggio presenta alone molto grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_FETTA.bmp,Colore della Pasta,Pasta con una macchia centrale.,La pasta del formaggio presenta una macchia centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_A_FETTA.bmp,Colore della Pasta,Pasta con alone tendente al rosato.,La pasta del formaggio presenta alone tendente al rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_B_GRANA.bmp,Colore della Pasta,Pasta con alone tendente al rosato.,La pasta del formaggio presenta alone tendente al rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_GRANA.bmp,Colore della Pasta,Pasta con una macchia centrale.,La pasta del formaggio presenta una macchia centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_A_GRANA.bmp,Colore della Pasta,Pasta con alone tendente al rosato.,La pasta del formaggio presenta alone tendente al rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_GRANA.bmp,Colore della Pasta,Pasta con una macchia centrale.,La pasta del formaggio presenta una macchia centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_FETTA.bmp,Colore della Pasta,Pasta con una macchia centrale.,La pasta del formaggio presenta una macchia centrale.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P2_TN_304_963_B_FETTA.bmp,Colore della Pasta,Pasta con alone tendente al rosato.,La pasta del formaggio presenta alone tendente al rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_A.bmp,Colore della Pasta,Pasta di colore più carico in certe zone.,La pasta del formaggio è di colore più carico in certe zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_A.bmp,Colore della Pasta,Pasta con una macchia giallo rosato.,La pasta del formaggio presenta una macchia giallo rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_B.bmp,Colore della Pasta,Pasta di colore più carico in certe zone.,La pasta del formaggio è di colore più carico in certe zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_B.bmp,Colore della Pasta,Pasta con una macchia giallo rosato.,La pasta del formaggio presenta una macchia giallo rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_GRANA_B.bmp,Colore della Pasta,Pasta con qualche sfumatura verdognola.,La pasta del formaggio presenta qualche sfumatura verdognola.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_GRANA_A.bmp,Colore della Pasta,Pasta con qualche sfumatura verdognola.,La pasta del formaggio presenta qualche sfumatura verdognola.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_FETTA_B.bmp,Colore della Pasta,Pasta con qualche sfumatura verdognola.,La pasta del formaggio presenta qualche sfumatura verdognola.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_FETTA_A.bmp,Colore della Pasta,Pasta con qualche sfumatura verdognola.,La pasta del formaggio presenta qualche sfumatura verdognola.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_A.bmp,Colore della Pasta,Pasta di colore più carico in certe zone.,La pasta del formaggio è di colore più carico in certe zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_A.bmp,Colore della Pasta,Pasta con una macchia giallo rosato.,La pasta del formaggio presenta una macchia giallo rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_B.bmp,Colore della Pasta,Pasta di colore più carico in certe zone.,La pasta del formaggio è di colore più carico in certe zone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_B.bmp,Colore della Pasta,Pasta con una macchia giallo rosato.,La pasta del formaggio presenta una macchia giallo rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P5_TN_323_789_GRANA_A.bmp,Colore della Pasta,Pasta con fascia più chiara.,La pasta del formaggio presenta fascia più chiara.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P6_TN_330_326_FETTA_B.bmp,Colore della Pasta,Pasta con macchia rosa centrale abbastanza grande.,La pasta del formaggio presenta macchia rosa centrale abbastanza grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_B.bmp,Colore della Pasta,Pasta con alone centrale rosato.,La pasta del formaggio presenta alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_B.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P5_TN_323_789_GRANA_B.bmp,Colore della Pasta,Pasta con fascia più chiara.,La pasta del formaggio presenta fascia più chiara.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P6_TN_330_326_FETTA_A.bmp,Colore della Pasta,Pasta con macchia rosa centrale abbastanza grande.,La pasta del formaggio presenta macchia rosa centrale abbastanza grande.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_A.bmp,Colore della Pasta,Pasta con alone centrale rosato.,La pasta del formaggio presenta alone centrale rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_A.bmp,Colore della Pasta,Pasta con leggero alone.,La pasta del formaggio presenta leggero alone.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P1_TN_302_109_FETTA_B.bmp,Colore della Pasta,Pasta con alone molto evidente arancio rosato.,La pasta del formaggio presenta alone molto evidente arancio rosato.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P1_TN_302_109_FETTA_B.bmp,Colore della Pasta,Pasta con alone netto e concentrato al centro.,La pasta del formaggio presenta alone netto e concentrato al centro.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P3_TN_314_456_FETTA_B.bmp,Colore della Pasta,Pasta di colore abbastanza omogeneo.,La pasta del formaggio è di colore abbastanza omogeneo.
