image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Texture,Texture che impasta la bocca.,Il formaggio ha una texture che impasta la bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,Texture,Texture fastidiosa in bocca.,Il formaggio presenta una texture fastidiosa in bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,Texture,Texture con cristalli abbondanti.,Il formaggio presenta una texture con cristalli abbondanti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,Texture,Texture con cristalli abbondanti.,Il formaggio presenta una texture con cristalli abbondanti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,Texture,Texture fastidiosa in bocca.,Il formaggio presenta una texture fastidiosa in bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Texture,Texture che impasta la bocca.,Il formaggio ha una texture che impasta la bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_GRANA.bmp,Texture,Texture fastidiosa in bocca.,Il formaggio presenta una texture fastidiosa in bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_GRANA.bmp,Texture,Texture con cristalli abbondanti.,Il formaggio presenta una texture con cristalli abbondanti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Texture,Texture che impasta la bocca.,Il formaggio ha una texture che impasta la bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Texture,Texture che impasta la bocca.,Il formaggio ha una texture che impasta la bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_FETTA.bmp,Texture,Texture con cristalli abbondanti.,Il formaggio presenta una texture con cristalli abbondanti.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_FETTA.bmp,Texture,Texture fastidiosa in bocca.,Il formaggio presenta una texture fastidiosa in bocca.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_A.bmp,Texture,"Texture buona solubilità, leggermente asciutta.","Il formaggio presenta una texture buona solubilità, leggermente asciutta."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_B.bmp,Texture,"Texture buona solubilità, leggermente asciutta.","Il formaggio presenta una texture buona solubilità, leggermente asciutta."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P4_TN_316_774_GRANA_B.bmp,Texture,Texture leggermente pastosa.,Il formaggio presenta una texture leggermente pastosa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P4_TN_316_774_GRANA_A.bmp,Texture,Texture leggermente pastosa.,Il formaggio presenta una texture leggermente pastosa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P4_TN_316_774_FETTA_B.bmp,Texture,Texture leggermente pastosa.,Il formaggio presenta una texture leggermente pastosa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P4_TN_316_774_FETTA_A.bmp,Texture,Texture leggermente pastosa.,Il formaggio presenta una texture leggermente pastosa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_A.bmp,Texture,"Texture buona solubilità, leggermente asciutta.","Il formaggio presenta una texture buona solubilità, leggermente asciutta."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_GRANA_B.bmp,Texture,"Texture buona solubilità, leggermente asciutta.","Il formaggio presenta una texture buona solubilità, leggermente asciutta."
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_B.bmp,Texture,Texture leggermente asciutta.,Il formaggio presenta una texture leggermente asciutta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P2_TN_311_753_GRANA_A.bmp,Texture,Texture leggermente asciutta.,Il formaggio presenta una texture leggermente asciutta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P1_TN_302_109_FETTA_B.bmp,Texture,Texture mediamente solubile e friabile.,Il formaggio presenta una texture mediamente solubile e friabile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P4_TN_319_123_FETTA_A.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P3_TN_314_456_FETTA_B.bmp,Texture,Texture leggermente asciutta.,Il formaggio presenta una texture leggermente asciutta.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P1_TN_302_109_FETTA_A.bmp,Texture,Texture mediamente solubile e friabile.,Il formaggio presenta una texture mediamente solubile e friabile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__28° Seduta_31-03-2021__P4_TN_319_123_FETTA_B.bmp,Texture,Texture dalla consistenza strana.,Il formaggio presenta una texture dalla consistenza strana.
